"Topic","Talk","Speaker","Date","URL"
"home teaching","Duty Calls","Thomas S. Monson","April 1996","https://www.lds.org/general-conference/1996/04/duty-calls?lang=eng"
"home teaching","“Watchmen on the Tower”","Helvécio Martins","April 1995","https://www.lds.org/general-conference/1995/04/watchmen-on-the-tower?lang=eng"
"home teaching","The Simple Things","Rex D. Pinegar","October 1994","https://www.lds.org/general-conference/1994/10/the-simple-things?lang=eng"
"home teaching","Inviting Others to “Come unto Christ”","Gene R. Cook","October 1988","https://www.lds.org/general-conference/1988/10/inviting-others-to-come-unto-christ?lang=eng"
"home teaching","Because of Your Steadiness","Henry B. Eyring","April 1988","https://www.lds.org/general-conference/1988/04/because-of-your-steadiness?lang=eng"
"home teaching","To the Home Teachers of the Church","Ezra Taft Benson","April 1987","https://www.lds.org/general-conference/1987/04/to-the-home-teachers-of-the-church?lang=eng"
"home teaching","“They Taught and Did Minister One to Another”","James M. Paramore","April 1986","https://www.lds.org/general-conference/1986/04/they-taught-and-did-minister-one-to-another?lang=eng"
"home teaching","Home Teaching—A Sacred Calling","L. Tom Perry","October 1978","https://www.lds.org/general-conference/1978/10/home-teaching-a-sacred-calling?lang=eng"
"home teaching","Home Teachers—Watchmen over the Church","James A. Cullimore","October 1972","https://www.lds.org/general-conference/1972/10/home-teachers-watchmen-over-the-church?lang=eng"
"home teaching","The Saints Securely Dwell","Boyd K. Packer","October 1972","https://www.lds.org/general-conference/1972/10/the-saints-securely-dwell?lang=eng"
"homosexuality","He Heals the Heavy Laden","Dallin H. Oaks","October 2006","https://www.lds.org/general-conference/2006/10/he-heals-the-heavy-laden?lang=eng"
"homosexuality","“Ye Are the Temple of God”","Boyd K. Packer","October 2000","https://www.lds.org/general-conference/2000/10/ye-are-the-temple-of-god?lang=eng"
"homosexuality","Why We Do Some of the Things We Do","Gordon B. Hinckley","October 1999","https://www.lds.org/general-conference/1999/10/why-we-do-some-of-the-things-we-do?lang=eng"
"homosexuality","What Are People Asking about Us?","Gordon B. Hinckley","October 1998","https://www.lds.org/general-conference/1998/10/what-are-people-asking-about-us?lang=eng"
"homosexuality","A Strategy for War","Durrel A. Woolsey","October 1995","https://www.lds.org/general-conference/1995/10/a-strategy-for-war?lang=eng"
"homosexuality","Stand Strong against the Wiles of the World","Gordon B. Hinckley","October 1995","https://www.lds.org/general-conference/1995/10/stand-strong-against-the-wiles-of-the-world?lang=eng"
"homosexuality","The Foundations of Righteousness","Spencer W. Kimball","October 1977","https://www.lds.org/general-conference/1977/10/the-foundations-of-righteousness?lang=eng"
"honesty","Earning the Trust of the Lord and Your Family","Richard J. Maynes","October 2017","https://www.lds.org/general-conference/2017/10/earning-the-trust-of-the-lord-and-your-family?lang=eng"
"honesty","The Priesthood Man","Henry B. Eyring","April 2014","https://www.lds.org/general-conference/2014/04/the-priesthood-man?lang=eng"
"honesty","I Believe in Being Honest and True","Ann M. Dibb","April 2011","https://www.lds.org/general-conference/2011/04/i-believe-in-being-honest-and-true?lang=eng"
"honesty","Let There Be Light!","Quentin L. Cook","October 2010","https://www.lds.org/general-conference/2010/10/let-there-be-light?lang=eng"
"honesty","Preparation Brings Blessings","Thomas S. Monson","April 2010","https://www.lds.org/general-conference/2010/04/preparation-brings-blessings?lang=eng"
"honesty","Let Virtue Garnish Your Thoughts","H. David Burton","October 2009","https://www.lds.org/general-conference/2009/10/let-virtue-garnish-your-thoughts?lang=eng"
"honesty","Moral Discipline","D. Todd Christofferson","October 2009","https://www.lds.org/general-conference/2009/10/moral-discipline?lang=eng"
"honesty","“I Am Clean”","Gordon B. Hinckley","April 2007","https://www.lds.org/general-conference/2007/04/i-am-clean?lang=eng"
"honesty","A Lesson from the Book of Mormon","Vicki F. Matsumori","April 2007","https://www.lds.org/general-conference/2007/04/a-lesson-from-the-book-of-mormon?lang=eng"
"honesty","Life’s Lessons Learned","Joseph B. Wirthlin","April 2007","https://www.lds.org/general-conference/2007/04/lifes-lessons-learned?lang=eng"
"honesty","Three Towels and a 25-Cent Newspaper","Richard C. Edgley","October 2006","https://www.lds.org/general-conference/2006/10/three-towels-and-a-25-cent-newspaper?lang=eng"
"honesty","Let Us Be Men","D. Todd Christofferson","October 2006","https://www.lds.org/general-conference/2006/10/let-us-be-men?lang=eng"
"honesty","The Prophet Joseph Smith: Teacher by Example","Thomas S. Monson","October 2005","https://www.lds.org/general-conference/2005/10/the-prophet-joseph-smith-teacher-by-example?lang=eng"
"honesty","Did You Get the Right Message?","James E. Faust","April 2004","https://www.lds.org/general-conference/2004/04/did-you-get-the-right-message?lang=eng"
"honesty","Earthly Debts, Heavenly Debts","Joseph B. Wirthlin","April 2004","https://www.lds.org/general-conference/2004/04/earthly-debts-heavenly-debts?lang=eng"
"honesty","The Shepherds of Israel","Gordon B. Hinckley","October 2003","https://www.lds.org/general-conference/2003/10/the-shepherds-of-israel?lang=eng"
"honesty","Are You a Saint?","Quentin L. Cook","October 2003","https://www.lds.org/general-conference/2003/10/are-you-a-saint?lang=eng"
"honesty","Repentance and Change","Dallin H. Oaks","October 2003","https://www.lds.org/general-conference/2003/10/repentance-and-change?lang=eng"
"honesty","Care for the Life of the Soul","Neal A. Maxwell","April 2003","https://www.lds.org/general-conference/2003/04/care-for-the-life-of-the-soul?lang=eng"
"honesty","Peace, Be Still","Thomas S. Monson","October 2002","https://www.lds.org/general-conference/2002/10/peace-be-still?lang=eng"
"honesty","The Enemy Within","James E. Faust","October 2000","https://www.lds.org/general-conference/2000/10/the-enemy-within?lang=eng"
"honesty","Your Greatest Challenge, Mother","Gordon B. Hinckley","October 2000","https://www.lds.org/general-conference/2000/10/your-greatest-challenge-mother?lang=eng"
"honesty","The Call to Serve","Thomas S. Monson","October 2000","https://www.lds.org/general-conference/2000/10/the-call-to-serve?lang=eng"
"honesty","Living by Scriptural Guidance","Russell M. Nelson","October 2000","https://www.lds.org/general-conference/2000/10/living-by-scriptural-guidance?lang=eng"
"honesty","“Great Shall Be the Peace of Thy Children”","Gordon B. Hinckley","October 2000","https://www.lds.org/general-conference/2000/10/great-shall-be-the-peace-of-thy-children?lang=eng"
"honesty","Integrity","Carol B. Thomas","April 2000","https://www.lds.org/general-conference/2000/04/integrity?lang=eng"
"honesty","Our Legacy","Stephen B. Oveson","October 1999","https://www.lds.org/general-conference/1999/10/our-legacy?lang=eng"
"honesty","The Shepherds of the Flock","Gordon B. Hinckley","April 1999","https://www.lds.org/general-conference/1999/04/the-shepherds-of-the-flock?lang=eng"
"honesty","This Is Our Day","James E. Faust","April 1999","https://www.lds.org/general-conference/1999/04/this-is-our-day?lang=eng"
"honesty","The Power of Righteousness","Richard G. Scott","October 1998","https://www.lds.org/general-conference/1998/10/the-power-of-righteousness?lang=eng"
"honesty","We Are Not Alone","Sheri L. Dew","October 1998","https://www.lds.org/general-conference/1998/10/we-are-not-alone?lang=eng"
"honesty","What Are People Asking about Us?","Gordon B. Hinckley","October 1998","https://www.lds.org/general-conference/1998/10/what-are-people-asking-about-us?lang=eng"
"honesty","Opening the Windows of Heaven","James E. Faust","October 1998","https://www.lds.org/general-conference/1998/10/opening-the-windows-of-heaven?lang=eng"
"honesty","Personal Purity","Jeffrey R. Holland","October 1998","https://www.lds.org/general-conference/1998/10/personal-purity?lang=eng"
"honesty","To the Boys and to the Men","Gordon B. Hinckley","October 1998","https://www.lds.org/general-conference/1998/10/to-the-boys-and-to-the-men?lang=eng"
"honesty","“We Seek After These Things”","James E. Faust","April 1998","https://www.lds.org/general-conference/1998/04/we-seek-after-these-things?lang=eng"
"honesty","Following the Pioneers","Dallin H. Oaks","October 1997","https://www.lds.org/general-conference/1997/10/following-the-pioneers?lang=eng"
"honesty","The Weightier Matters of the Law: Judgment, Mercy, and Faith","James E. Faust","October 1997","https://www.lds.org/general-conference/1997/10/the-weightier-matters-of-the-law-judgment-mercy-and-faith?lang=eng"
"honesty","As Good As Our Bond","Sheldon F. Child","April 1997","https://www.lds.org/general-conference/1997/04/as-good-as-our-bond?lang=eng"
"honesty","Honesty—a Moral Compass","James E. Faust","October 1996","https://www.lds.org/general-conference/1996/10/honesty-a-moral-compass?lang=eng"
"honesty","Stand True and Faithful","Gordon B. Hinckley","April 1996","https://www.lds.org/general-conference/1996/04/stand-true-and-faithful?lang=eng"
"honesty","“Thou Shalt Have No Other Gods”","Russell M. Nelson","April 1996","https://www.lds.org/general-conference/1996/04/thou-shalt-have-no-other-gods?lang=eng"
"honesty","“Be Ye Clean”","Gordon B. Hinckley","April 1996","https://www.lds.org/general-conference/1996/04/be-ye-clean?lang=eng"
"honesty","Eternal Laws of Happiness","Lynn A. Mickelsen","October 1995","https://www.lds.org/general-conference/1995/10/eternal-laws-of-happiness?lang=eng"
"honesty","We Have a Work to Do","Gordon B. Hinckley","April 1995","https://www.lds.org/general-conference/1995/04/we-have-a-work-to-do?lang=eng"
"honesty","Our Priesthood Legacy","Jeffrey R. Holland","April 1995","https://www.lds.org/general-conference/1995/04/our-priesthood-legacy?lang=eng"
"honesty","Helping Children Know Truth from Error","Michaelene P. Grassli","October 1994","https://www.lds.org/general-conference/1994/10/helping-children-know-truth-from-error?lang=eng"
"honesty","“What Shall We Do?”","Hans B. Ringger","April 1994","https://www.lds.org/general-conference/1994/04/what-shall-we-do?lang=eng"
"hope","The Blessings of Worship","Dean M. Davies","October 2016","https://www.lds.org/general-conference/2016/10/the-blessings-of-worship?lang=eng"
"hope","And There Shall Be No More Death","Paul V. Johnson","April 2016","https://www.lds.org/general-conference/2016/04/and-there-shall-be-no-more-death?lang=eng"
"hope","He Will Place You on His Shoulders and Carry You Home","Dieter F. Uchtdorf","April 2016","https://www.lds.org/general-conference/2016/04/he-will-place-you-on-his-shoulders-and-carry-you-home?lang=eng"
"hope","Tomorrow the Lord Will Do Wonders among You","Jeffrey R. Holland","April 2016","https://www.lds.org/general-conference/2016/04/tomorrow-the-lord-will-do-wonders-among-you?lang=eng"
"hope","A Summer with Great-Aunt Rose","Dieter F. Uchtdorf","October 2015","https://www.lds.org/general-conference/2015/10/a-summer-with-great-aunt-rose?lang=eng"
"hope","The Eternal Perspective of the Gospel","Rafael E. Pino","April 2015","https://www.lds.org/general-conference/2015/04/the-eternal-perspective-of-the-gospel?lang=eng"
"hope","Choose to Believe","L. Whitney Clayton","April 2015","https://www.lds.org/general-conference/2015/04/choose-to-believe?lang=eng"
"hope","The Reason for Our Hope","Boyd K. Packer","October 2014","https://www.lds.org/general-conference/2014/10/the-reason-for-our-hope?lang=eng"
"hope","A Priceless Heritage of Hope","Henry B. Eyring","April 2014","https://www.lds.org/general-conference/2014/04/a-priceless-heritage-of-hope?lang=eng"
"hope","The Hope of God’s Light","Dieter F. Uchtdorf","April 2013","https://www.lds.org/general-conference/2013/04/the-hope-of-gods-light?lang=eng"
"hope","Beautiful Mornings","Bruce D. Porter","April 2013","https://www.lds.org/general-conference/2013/04/beautiful-mornings?lang=eng"
"hope","“Because I Live, Ye Shall Live Also”","Shayne M. Bowen","October 2012","https://www.lds.org/general-conference/2012/10/because-i-live-ye-shall-live-also?lang=eng"
"hope","You Matter to Him","Dieter F. Uchtdorf","October 2011","https://www.lds.org/general-conference/2011/10/you-matter-to-him?lang=eng"
"hope","Waiting upon the Lord: Thy Will Be Done","Robert D. Hales","October 2011","https://www.lds.org/general-conference/2011/10/waiting-upon-the-lord-thy-will-be-done?lang=eng"
"hope","Hope","Steven E. Snow","April 2011","https://www.lds.org/general-conference/2011/04/hope?lang=eng"
"hope","The Rock of Our Redeemer","Wilford W. Andersen","April 2010","https://www.lds.org/general-conference/2010/04/the-rock-of-our-redeemer?lang=eng"
"hope","Safety for the Soul","Jeffrey R. Holland","October 2009","https://www.lds.org/general-conference/2009/10/safety-for-the-soul?lang=eng"
"hope","The Love of God","Dieter F. Uchtdorf","October 2009","https://www.lds.org/general-conference/2009/10/the-love-of-god?lang=eng"
"hope","Get On with Our Lives","Steven E. Snow","April 2009","https://www.lds.org/general-conference/2009/04/get-on-with-our-lives?lang=eng"
"hope","The Way of the Disciple","Dieter F. Uchtdorf","April 2009","https://www.lds.org/general-conference/2009/04/the-way-of-the-disciple?lang=eng"
"hope","Be of Good Cheer","Thomas S. Monson","April 2009","https://www.lds.org/general-conference/2009/04/be-of-good-cheer?lang=eng"
"hope","The Infinite Power of Hope","Dieter F. Uchtdorf","October 2008","https://www.lds.org/general-conference/2008/10/the-infinite-power-of-hope?lang=eng"
"hope","Repentance and Conversion","Russell M. Nelson","April 2007","https://www.lds.org/general-conference/2007/04/repentance-and-conversion?lang=eng"
"hope","“The Great and Wonderful Love”","Anthony D. Perkins","October 2006","https://www.lds.org/general-conference/2006/10/the-great-and-wonderful-love?lang=eng"
"hope","Sunday Will Come","Joseph B. Wirthlin","October 2006","https://www.lds.org/general-conference/2006/10/sunday-will-come?lang=eng"
